---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id              # unique markers (of 43)   # multi-copy   Taxonomy                                                                                                                           
  SRR5195108.bin.7               1                    0         k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae_3;g__Sphingobium                     
  SRR5195108.bin.57              1                    0         k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae                                                        
  SRR5195108.bin.54              1                    0         k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae                                        
  SRR5195108.bin.42              1                    0         k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes                                                                                    
  SRR5195108.bin.40              1                    0         k__Archaea;p__Thaumarchaeota;c__Nitrosopumilales;o__Nitrosopumilales                                                               
  SRR5195108.bin.35              1                    0         k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Rubrivivax                                               
  SRR5195108.bin.16              1                    1         k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria                                                                               
  SRR5195108.bin.9               0                    0         NA                                                                                                                                 
  SRR5195108.bin.60              0                    0         NA                                                                                                                                 
  SRR5195108.bin.56              0                    0         NA                                                                                                                                 
  SRR5195108.bin.53              0                    0         NA                                                                                                                                 
  SRR5195108.bin.52              0                    0         NA                                                                                                                                 
  SRR5195108.bin.51              0                    0         NA                                                                                                                                 
  SRR5195108.bin.34              0                    0         NA                                                                                                                                 
  SRR5195108.bin.30              0                    0         NA                                                                                                                                 
  SRR5195108.bin.27              0                    0         NA                                                                                                                                 
  SRR5195108.bin.26              0                    0         NA                                                                                                                                 
  SRR5195108.bin.25              0                    0         NA                                                                                                                                 
  SRR5195108.bin.1               0                    0         NA                                                                                                                                 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
