---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                       Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity
  SRR5195108.bin.32    f__Xanthomonadaceae (UID4214)         55         659           290        314   300    42   3    0    0       56.68            7.23              11.76
  SRR5195108.bin.20       o__Rhizobiales (UID3447)          356         413           248        181   173    54   4    1    0       56.63           16.72              11.11
  SRR5195108.bin.6          k__Bacteria (UID203)            5449        104            58         59    41    4    0    0    0       52.93            1.33               0.00
  SRR5195108.bin.13         k__Bacteria (UID203)            5449        104            58         62    30    11   1    0    0       49.97           16.21               0.00
  SRR5195108.bin.23         k__Bacteria (UID203)            5449        104            58         67    37    0    0    0    0       44.73            0.00               0.00
  SRR5195108.bin.29        k__Bacteria (UID3187)            2258        188           117        116    59    13   0    0    0       44.64            7.58              30.77
  SRR5195108.bin.15         k__Bacteria (UID203)            5449        104            58         76    28    0    0    0    0       43.97            0.00               0.00
  SRR5195108.bin.44          k__Archaea (UID2)              207         145           103         91    54    0    0    0    0       42.72            0.00               0.00
  SRR5195108.bin.49         k__Bacteria (UID203)            5449        104            58         77    24    3    0    0    0       42.24            5.17              66.67
  SRR5195108.bin.19         k__Bacteria (UID203)            5449        104            58         76    28    0    0    0    0       41.69            0.00               0.00
  SRR5195108.bin.11    f__Xanthomonadaceae (UID4214)         55         659           290        391   261    7    0    0    0       40.31            1.30              28.57
  SRR5195108.bin.38         k__Bacteria (UID203)            5449        104            58         75    25    3    1    0    0       40.13            8.62              16.67
  SRR5195108.bin.47        k__Bacteria (UID2495)            2993        147            91        100    46    1    0    0    0       38.37            1.10               0.00
  SRR5195108.bin.8          k__Bacteria (UID203)            5449        103            58         71    22    9    1    0    0       38.09           15.67               8.33
  SRR5195108.bin.16         k__Bacteria (UID203)            5449        104            58         79    24    1    0    0    0       35.17            1.72              100.00
  SRR5195108.bin.41         k__Bacteria (UID203)            5449        104            58         82    22    0    0    0    0       30.86            0.00               0.00
  SRR5195108.bin.39         k__Bacteria (UID203)            5449        104            58         78    26    0    0    0    0       27.35            0.00               0.00
  SRR5195108.bin.22         k__Bacteria (UID203)            5449        104            58         90    14    0    0    0    0       18.10            0.00               0.00
  SRR5195108.bin.10         k__Bacteria (UID203)            5449        104            58         87    17    0    0    0    0       17.32            0.00               0.00
  SRR5195108.bin.33         k__Bacteria (UID203)            5449        104            58         93    11    0    0    0    0       17.24            0.00               0.00
  SRR5195108.bin.42         k__Bacteria (UID203)            5449        103            57         92    11    0    0    0    0       15.79            0.00               0.00
  SRR5195108.bin.36         k__Bacteria (UID203)            5449        103            57         88    15    0    0    0    0       13.84            0.00               0.00
  SRR5195108.bin.7          k__Bacteria (UID203)            5449        104            58         96    8     0    0    0    0       13.79            0.00               0.00
  SRR5195108.bin.40          k__Archaea (UID2)              207         145           103        128    17    0    0    0    0       12.62            0.00               0.00
  SRR5195108.bin.14         k__Bacteria (UID203)            5449        104            58         94    10    0    0    0    0       10.66            0.00               0.00
  SRR5195108.bin.48         k__Bacteria (UID203)            5449        103            57         96    7     0    0    0    0        8.77            0.00               0.00
  SRR5195108.bin.35         k__Bacteria (UID203)            5449        104            58         99    5     0    0    0    0        8.62            0.00               0.00
  SRR5195108.bin.18         k__Bacteria (UID203)            5449        104            58         93    11    0    0    0    0        7.99            0.00               0.00
  SRR5195108.bin.54         k__Bacteria (UID203)            5449        104            58        100    4     0    0    0    0        6.90            0.00               0.00
  SRR5195108.bin.12         k__Bacteria (UID203)            5449        104            58         99    5     0    0    0    0        5.86            0.00               0.00
  SRR5195108.bin.53             root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00
  SRR5195108.bin.51             root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00
  SRR5195108.bin.3          k__Bacteria (UID203)            5449        103            57         95    7     1    0    0    0        3.59            0.16               0.00
  SRR5195108.bin.57         k__Bacteria (UID203)            5449        103            57        101    2     0    0    0    0        2.63            0.00               0.00
  SRR5195108.bin.9              root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.60             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.56             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.52             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.34             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.30             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.27             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.26             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.25             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
  SRR5195108.bin.1              root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
